"","State","Region.Name","ASGC.2008.Code","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"1196","NT","Alawa",705051004,3.2,3.4,2.9,1.7,1.9,1.9,1.8
"1197","NT","Anula",705051008,2.2,2.5,1.9,1.2,1.5,1.6,1.7
"1198","NT","Bayview-Woolner",705051011,2.2,2.3,2.2,1.4,1.5,1.5,1.2
"1199","NT","Brinkin",705051014,3,3.1,2.8,1.7,1.8,1.8,1.7
"1200","NT","City - Inner",705051018,14.2,13,13.1,8.5,8.8,6.1,4.9
"1201","NT","Coconut Grove",705051024,3.5,3.7,3.3,1.9,2.1,1.8,1.8
"1202","NT","Fannie Bay",705051028,2.4,2.4,2.4,1.5,1.6,1.5,1.2
"1203","NT","Jingili",705051034,3.3,3.4,3,1.8,2,1.8,1.8
"1204","NT","Karama",705051038,2.4,2.8,2.2,1.4,1.7,1.7,1.7
"1205","NT","Larrakeyah",705051044,2.6,2.7,2.6,1.6,1.7,1.6,1.2
"1206","NT","Leanyer",705051048,0,0,0,0,0,1.7,1.6
"1207","NT","Lee Point-Leanyer Swamp",705051052,3.2,3.9,3.2,2.1,2.6,2.5,2.4
"1208","NT","Ludmilla",705051054,2.7,2.7,2.7,1.6,1.8,1.6,1.2
"1209","NT","Malak",705051058,2.2,2.7,2,1.3,1.6,1.7,1.6
"1210","NT","Marrara",705051064,2.2,2.6,1.9,1.2,1.5,1.7,1.7
"1211","NT","Millner",705051068,3.1,3.3,2.9,1.7,1.9,1.8,1.8
"1212","NT","Moil",705051074,3.4,3.6,3.1,1.8,2,1.9,1.8
"1213","NT","Nakara",705051078,3.1,3.3,2.9,1.7,1.8,1.8,1.8
"1214","NT","Narrows",705051084,3.5,3.6,3.5,2.2,2.1,1.6,1.3
"1215","NT","Nightcliff",705051088,2.9,3.1,2.7,1.6,1.7,1.8,1.8
"1216","NT","Parap",705051094,2.9,2.9,2.8,1.7,1.9,1.6,1.2
"1217","NT","Rapid Creek",705051098,2.8,3,2.7,1.5,1.7,1.9,1.8
"1218","NT","Stuart Park",705051104,2.2,2.3,2.2,1.4,1.5,1.6,1.2
"1219","NT","The Gardens",705051108,3.4,3.5,3.4,2.1,2.2,1.5,1.3
"1220","NT","Tiwi",705051114,3.8,4,3.5,2,2.2,1.9,1.8
"1221","NT","Wagaman",705051118,3.3,3.5,3.1,1.8,2,1.8,1.8
"1222","NT","Wanguri",705051124,3.2,3.4,3.1,1.7,1.9,1.9,1.8
"1223","NT","Winnellie",705051128,5.9,6,5.8,3.6,3.8,1.6,1.1
"1224","NT","Wulagi",705051134,2.1,2.4,1.9,1.2,1.5,1.7,1.6
"1225","NT","City - Remainder",705051138,3.4,3.5,3.6,2.2,2.5,2.2,1.6
"1226","NT","East Arm",705101169,2.5,2.5,2.3,1.3,1.6,20,20
"1227","NT","Bakewell",705102802,1.6,1.6,1.3,0.7,0.9,0.8,0.8
"1228","NT","Driver",705102804,3.2,3.4,3.2,2,2.4,2.7,2.6
"1229","NT","Durack",705102806,3.3,3.5,3.3,2.1,2.5,2.7,2.6
"1230","NT","Gray",705102808,3.9,4.2,4,2.5,2.9,2.7,2.6
"1231","NT","Gunn-Palmerston City",705102811,0,0,0,0,0,0.8,0.8
"1232","NT","Moulden",705102814,4.4,4.7,4.5,2.7,3.3,2.7,2.7
"1233","NT","Woodroffe",705102818,3.6,3.8,3.6,2.2,2.7,2.7,2.7
"1234","NT","Palmerston (C) Bal",705102824,0,0,0,0,0,1.5,1.5
"1235","NT","Litchfield (S) - Pt A",705202304,2.5,2.9,3,1.8,2.3,2.1,1.7
"1236","NT","Litchfield (S) - Pt B",705202308,4.7,5.2,4.5,2.9,3.4,3,2.9
"1237","NT","Belyuen (S)",710050540,15,19.7,16.7,11,14.4,12.7,12.3
"1238","NT","Coomalie (S)",710050700,5.9,6.9,6.5,5.2,4.2,6.7,6.2
"1239","NT","Finniss-Mary",710051509,12.8,16.6,15,10.1,13,8.8,7.4
"1240","NT","Wagait (S)",710054560,15,19.7,16.7,11,14.4,12.3,12
"1241","NT","Tiwi Islands (S)",710104050,14,18.7,15.9,10.5,13.7,11.9,11.4
"1242","NT","West Arnhem (S) - Jabiru",710154663,1.2,1.5,2.1,1.6,1.9,2.6,2.7
"1243","NT","West Arnhem (S) Bal",710154666,16.8,22.1,19.3,12.9,16.7,11.4,10.9
"1244","NT","Alyangula",710250419,10.4,13.8,11.8,6.8,8.3,2.9,2.8
"1245","NT","East Arnhem (S)",710251300,13.2,17.6,15.1,9.3,12.1,7.2,6.9
"1246","NT","Nhulunbuy",710252409,3.2,4.6,3.9,1.9,2.4,2.7,2.6
"1247","NT","Katherine (T)",710302200,5.4,6.2,6.2,4.3,5.2,4.6,4.1
"1248","NT","Roper Gulf (S)",710303600,9.7,12.2,12.1,7.9,10.9,10.4,8.9
"1249","NT","Victoria-Daly (S) - Wadeye and OS",710304505,16.7,22.2,19.2,12.7,16.9,12.3,11.7
"1250","NT","Victoria-Daly (S) Bal",710304508,13.5,17.3,16,10.9,15.3,11.5,10
"1251","NT","Barkly (S) - Tennant Creek",710350422,6,9,10,5.3,6,5.1,5.6
"1252","NT","Barkly (S) Bal",710350425,10.8,14.2,12.7,7.6,9,8.6,8.6
"1253","NT","Alice Springs (T) - Charles",710400201,3.8,4.6,4.4,2.7,3.3,2.4,2.2
"1254","NT","Alice Springs (T) - Heavitree",710400203,13.6,17.8,15.4,10.3,12.9,2.3,2.2
"1255","NT","Alice Springs (T) - Larapinta",710400205,3.4,4.1,4,2.4,3,2.4,2.2
"1256","NT","Alice Springs (T) - Ross",710400207,3.7,4.5,4.3,2.6,3.2,2.4,2.2
"1257","NT","Alice Springs (T) - Stuart",710400208,6.7,8.1,7.7,4.7,5.9,2.4,2.2
"1258","NT","Central Desert (S)",710400620,20.1,26.1,22.9,15.4,19.9,17,15.5
"1259","NT","MacDonnell (S)",710402330,19.7,25.9,22.3,14.9,18.7,17.5,16.1
"1260","NT","Yulara",710406059,16.3,21.5,18.5,12.3,15.5,17.4,16.1
