"","State","Region.Name","ASGC.2008.Code","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"403","Qld","Bowen Hills",305011067,7.5,7.6,7.4,5.3,5.9,3.9,4.8
"404","Qld","City - Inner",305011143,15.6,14.7,11.7,9,11.8,5.2,6.4
"405","Qld","City - Remainder",305011146,9.2,8.8,7.1,5.4,7,5.2,6.4
"406","Qld","Dutton Park",305011187,12,11,9.7,6.6,6.2,8,9.7
"407","Qld","Fortitude Valley",305011227,7.4,7.8,7.4,5.3,5.9,4,4.8
"408","Qld","Herston",305011274,9.3,9.7,9.3,6.7,7.3,4,4.8
"409","Qld","Highgate Hill",305011277,9.2,7.7,5.9,4.5,5.2,6.6,8
"410","Qld","Kangaroo Point",305011304,7.6,7,5.5,3.4,3.7,3.9,4.4
"411","Qld","Kelvin Grove",305011315,6.3,5.4,4.5,3.2,4.1,4.4,5.4
"412","Qld","Milton",305011378,6.1,4.7,3.6,2.3,2.4,2.2,3.1
"413","Qld","New Farm",305011421,9.1,8.2,5.7,3.6,3.7,4.8,5.7
"414","Qld","Newstead",305011427,4.4,4.6,4.4,3.2,3.5,4,4.8
"415","Qld","Paddington",305011454,5.3,4,3.1,2,2,2.2,3.2
"416","Qld","Red Hill",305011481,6.2,5.3,4.5,3.1,4,4.4,5.3
"417","Qld","South Brisbane",305011525,16.1,13.5,10.4,7.9,9.2,6.6,8
"418","Qld","Spring Hill",305011528,7.9,7.5,6,4.6,6.1,5.2,6.4
"419","Qld","West End",305011607,10.1,8.4,6.5,4.9,5.7,6.6,8
"420","Qld","Woolloongabba",305011631,12.6,11.5,10.1,6.8,6.5,8.2,9.8
"421","Qld","Albion",305031004,8.2,6.3,4.7,3.4,3.3,3.3,4.1
"422","Qld","Alderley",305031007,4.5,3.8,3,2,2.1,3.1,3.8
"423","Qld","Ascot",305031026,3.7,3.1,2.3,1.7,1.8,2.3,2.7
"424","Qld","Ashgrove",305031031,3.3,2.9,2.5,1.6,1.7,2.4,2.9
"425","Qld","Bardon",305031048,3,2.2,1.7,1.1,1.3,1.5,2
"426","Qld","Chelmer",305031132,4,3.4,2.3,1.6,1.8,2,2.7
"427","Qld","Clayfield",305031151,4.7,4.4,3,2.1,2.3,2.7,3.2
"428","Qld","Corinda",305031162,3.9,3.8,3,2,2.2,3.1,4
"429","Qld","Enoggera",305031206,4.6,3.8,3,2,2.2,3.1,3.8
"430","Qld","Graceville",305031241,3.5,3.4,2.7,1.8,2,3.1,4
"431","Qld","Grange",305031244,4.8,4,3.2,2.1,2.3,3.1,3.8
"432","Qld","Hamilton",305031255,4.1,3.4,2.6,1.9,2,2.3,2.8
"433","Qld","Hendra",305031271,4.7,4.4,3,2.1,2.4,2.7,3.2
