"","State","Region.Name","ASGC.2008.Code","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"877","SA","Gawler (T)",405052030,6.6,5.4,5.3,6.6,5.1,5.5,5.5
"878","SA","Playford (C) - East Central",405055681,10.9,8.8,8.2,9.6,7.8,11.1,10.5
"879","SA","Playford (C) - Elizabeth",405055683,24.1,19.2,17.4,19.9,16.8,22,20.2
"880","SA","Playford (C) - Hills",405055684,7.6,6.1,5.9,7,5.5,7.1,7
"881","SA","Playford (C) - West",405055686,8.3,6.4,5.8,6.6,5.7,7.4,7.4
"882","SA","Playford (C) - West Central",405055688,19.8,15.6,14.5,16.8,13.8,15.1,14
"883","SA","Port Adel. Enfield (C) - East",405055891,9.1,7.3,6.7,7.3,5.7,7.5,6.9
"884","SA","Port Adel. Enfield (C) - Inner",405055894,13.1,10.6,10,11.1,9.3,11.7,10.9
"885","SA","Salisbury (C) - Central",405057141,11.9,9.1,8.5,9.1,7.5,10,10.3
"886","SA","Salisbury (C) - Inner North",405057143,11.9,9.5,8.3,9.3,7.7,10.7,11
"887","SA","Salisbury (C) - North-East",405057144,6.1,5.2,4.5,5,4,5.9,6
"888","SA","Salisbury (C) - South-East",405057146,7.5,6,5.7,6.4,5.3,5.7,5.7
"889","SA","Salisbury (C) Bal",405057148,9.9,8,7.1,7.4,5.9,6.6,6.9
"890","SA","Tea Tree Gully (C) - Central",405057701,4.2,3.2,2.8,3.3,2.5,3.5,3.3
"891","SA","Tea Tree Gully (C) - Hills",405057704,2.9,2.2,2.2,2.4,1.8,2.6,2.7
"892","SA","Tea Tree Gully (C) - North",405057705,3.4,2.8,2.6,2.8,2,2.5,2.5
"893","SA","Tea Tree Gully (C) - South",405057708,4.7,3.6,3.3,3.5,2.8,3.7,3.7
"894","SA","Charles Sturt (C) - Coastal",405101061,4.2,3.7,3.1,2.9,2.6,3.5,2.7
"895","SA","Charles Sturt (C) - Inner East",405101064,7.7,6.5,5.5,5.9,5.2,7.3,5.4
"896","SA","Charles Sturt (C) - Inner West",405101065,6.6,5.6,4.6,5.1,4.6,6.5,4.8
"897","SA","Charles Sturt (C) - North-East",405101068,10.4,8.7,7.2,7.4,6.9,10.6,7.5
"898","SA","Port Adel. Enfield (C) - Coast",405105895,7,5.9,4.8,5.2,4.8,7,5
"899","SA","Port Adel. Enfield (C) - Park",405105896,14.4,11.7,9.3,9.9,9.4,14.5,9.9
"900","SA","Port Adel. Enfield (C) - Port",405105897,14.4,11.7,9.3,9.9,9.4,11.3,8.2
"901","SA","West Torrens (C) - East",405108411,7.2,6.1,4.8,4.9,4.3,6.2,4.4
"902","SA","West Torrens (C) - West",405108414,5.8,4.9,4,3.9,3.4,4.9,3.6
"903","SA","Adelaide (C)",405150070,9.5,8.9,8.3,8.2,8.3,9.4,8.1
"904","SA","Adelaide Hills (DC) - Central",405150121,2.7,2.4,2.5,1.8,2,2.8,2.1
"905","SA","Adelaide Hills (DC) - Ranges",405150124,3,2.7,2.8,2.3,2.5,3.3,2.8
"906","SA","Burnside (C) - North-East",405150701,3.1,2.9,2.8,2.4,2.7,3.5,3
"907","SA","Burnside (C) - South-West",405150704,2.6,2.6,2.3,2.1,2.1,3.1,2.5
"908","SA","Campbelltown (C) - East",405150911,4.1,4,4.1,3.5,3.8,5.2,4.5
"909","SA","Campbelltown (C) - West",405150914,5.4,5.2,5.4,4.8,5.1,6.3,5.4
"910","SA","Norw. P'ham St Ptrs (C) - East",405155291,5,5,4.9,4.4,4.4,6.3,5.2
"911","SA","Norw. P'ham St Ptrs (C) - West",405155294,4.5,4.3,3.9,3.4,3.4,4.7,3.8
"912","SA","Prospect (C)",405156510,5.9,5.5,5.6,4.9,5.1,6,5.2
"913","SA","Unley (C) - East",405157981,3.4,3.3,2.8,2.3,2.5,3.5,2.9
"914","SA","Unley (C) - West",405157984,4.3,4.2,4,3.3,3.3,4.5,3.7
"915","SA","Walkerville (M)",405158260,4,3.9,4.7,3,3.6,4.7,4
"916","SA","Holdfast Bay (C) - North",405202601,5.6,5.8,4.4,3.7,3.9,3.3,3.6
"917","SA","Holdfast Bay (C) - South",405202604,5,5.1,4.3,3.4,3.8,3.5,4.3
"918","SA","Marion (C) - Central",405204061,6.7,7.1,6.3,5.5,5.8,5.1,6.2
"919","SA","Marion (C) - North",405204064,7.4,7.8,6.8,5.5,5.6,4.6,5.6
"920","SA","Marion (C) - South",405204065,3.5,3.5,3.3,2.8,2.8,2.5,3
"921","SA","Mitcham (C) - Hills",405204341,2.9,3,2.6,2.2,2.3,1.8,2.2
"922","SA","Mitcham (C) - North-East",405204344,2.4,2.5,1.8,1.7,1.8,1.6,2
"923","SA","Mitcham (C) - West",405204345,4.8,4.8,4.1,3.5,3.4,3,3.7
"924","SA","Onkaparinga (C) - Hackham",405205341,11.8,12.3,11.7,10.6,11.9,9.7,10.6
"925","SA","Onkaparinga (C) - Hills",405205342,4.1,3.8,3.5,3.1,3,2.7,3.2
"926","SA","Onkaparinga (C) - Morphett",405205343,7.4,7.4,7.1,6,6.2,5.4,6.4
"927","SA","Onkaparinga (C) - North Coast",405205344,14.2,14.5,13.9,12.5,13.1,11.7,13.1
"928","SA","Onkaparinga (C) - Reservoir",405205345,3.2,3.2,2.8,2.2,2.3,2.1,2.8
"929","SA","Onkaparinga (C) - South Coast",405205346,9,9.4,9.6,8.5,8.8,6.9,8.1
"930","SA","Onkaparinga (C) - Woodcroft",405205347,4.9,4.8,4.6,3.8,3.9,3.7,4.5
"931","SA","Barossa (DC) - Angaston",410050311,2.5,1.8,2.3,2.7,2.8,2.1,3.2
"932","SA","Barossa (DC) - Barossa",410050314,2.7,2.2,2.3,2.7,2.8,1.9,2.9
"933","SA","Barossa (DC) - Tanunda",410050315,2,1.7,1.8,2.3,1.7,1.4,1.8
"934","SA","Light (RegC)",410053650,2.9,2.4,3.1,3.3,3.2,3.1,4.6
"935","SA","Mallala (DC)",410053920,3.7,3.1,3.9,4.3,4,3.1,4.5
"936","SA","Kangaroo Island (DC)",410102750,3.2,1.9,1.9,2.1,2.2,2.5,3.5
"937","SA","Adelaide Hills (DC) - North",410150125,1.3,1.3,1.3,1.5,1.4,1.6,2.1
"938","SA","Adelaide Hills (DC) Bal",410150128,1.9,1.5,2,1.9,1.6,1.4,2.2
"939","SA","Mount Barker (DC) - Central",410154551,3.5,3,3.7,3.7,2.9,2.6,3.9
"940","SA","Mount Barker (DC) Bal",410154554,2.8,2.4,2.9,2.9,2.4,2,2.6
"941","SA","Alexandrina (DC) - Coastal",410200221,5.4,4.2,5.5,6.4,6,4.9,7.9
"942","SA","Alexandrina (DC) - Strathalbyn",410200224,2.9,2.6,3.4,3.1,2.7,2.6,4.1
"943","SA","Victor Harbor (C)",410208050,5.4,4.2,5.4,6.1,6,5.2,7.3
"944","SA","Yankalilla (DC)",410208750,4.7,4.2,4.4,5.2,5.2,4,6.5
"945","SA","Barunga West (DC)",415050430,5.7,3.5,2.1,2.7,3.4,3.3,2.4
"946","SA","Copper Coast (DC)",415051560,9,5.9,5.7,5.8,7.1,6.3,5.2
"947","SA","Yorke Peninsula (DC) - North",415058831,5.4,3.6,3.3,3.7,4.1,4.2,2.8
"948","SA","Yorke Peninsula (DC) - South",415058834,6.4,3.9,3.3,3.2,4.3,4,3.2
"949","SA","Clare and Gilbert Valleys (DC)",415101140,3.6,2.3,1.9,2.1,2.3,2.3,2
"950","SA","Goyder (DC)",415102110,5.4,4.1,3.6,3.1,3.5,3.5,2.9
"951","SA","Wakefield (DC)",415108130,5.9,3.9,3.1,2.8,3.5,3.7,2.9
"952","SA","Berri & Barmera (DC) - Barmera",420050521,5.1,4.7,5,5.2,5.5,5.3,8.3
"953","SA","Berri & Barmera (DC) - Berri",420050524,5.9,5.3,6,7,6.9,6.1,8.4
"954","SA","Loxton Waikerie (DC) - East",420053791,4.3,3.6,3.5,4,3.5,2.9,4.8
"955","SA","Loxton Waikerie (DC) - West",420053794,3.7,3.1,3.1,3.5,4.1,4,5.4
"956","SA","Mid Murray (DC)",420054210,5.3,4.2,4.5,4.2,4.4,3.7,5.7
"957","SA","Renmark Paringa (DC) - Paringa",420056671,5.2,4.1,4.6,5,5.5,3.6,6.2
"958","SA","Renmark Paringa (DC) - Renmark",420056674,5.1,4,4.9,5.2,6.3,5.6,8.2
"959","SA","Unincorp. Riverland",420059039,7.8,5.9,7.8,7.8,7.4,18,6.6
"960","SA","Karoonda East Murray (DC)",420103080,2.4,1.3,1.5,1.5,2,1.8,2.8
"961","SA","Murray Bridge (RC)",420105040,6.6,6,6.7,7.3,7.3,6.4,9.3
"962","SA","Southern Mallee (DC)",420107290,1.8,1.6,2.3,1.9,2,2,3.3
"963","SA","The Coorong (DC)",420107800,4.3,3.7,3.8,4.1,4.4,3.8,6.2
"964","SA","Kingston (DC)",425053360,2.7,2,2.3,2.2,2.7,2,3.4
"965","SA","Naracoorte and Lucindale (DC)",425055090,2.4,2.1,2.4,3,2.6,2.1,3.1
"966","SA","Robe (DC)",425056860,2,1.7,2,2.4,1.3,1.6,3.4
"967","SA","Tatiara (DC)",425057630,1.2,1.3,1.4,1.4,1.5,1.6,2.1
"968","SA","Grant (DC)",425102250,1.8,1.6,1.8,2.1,2,2.6,3.4
"969","SA","Mount Gambier (C)",425104620,5.4,4.7,5.7,6.1,6,5.1,6.9
"970","SA","Wattle Range (DC) - East",425108341,3.9,3.3,4.1,4.5,3.8,3.3,4.3
"971","SA","Wattle Range (DC) - West",425108344,4.1,3.8,4.8,4.9,4.2,3.8,5.2
"972","SA","Cleve (DC)",430051190,2.2,1.4,0.8,0.6,1,1.8,1.4
"973","SA","Elliston (DC)",430051750,4.6,2.6,2.5,3.1,2.8,3.6,3
"974","SA","Franklin Harbour (DC)",430051960,4.3,2.3,1.6,2.1,2.6,2.2,2.3
"975","SA","Kimba (DC)",430053220,1.4,1.4,0.7,0.9,0.9,0.4,0.6
"976","SA","Le Hunte (DC)",430053570,1.7,0.9,1.1,1.4,1.4,1.6,1.3
"977","SA","Lower Eyre Peninsula (DC)",430053710,6.3,4.4,3.7,3.3,4,3.5,2.7
"978","SA","Port Lincoln (C)",430056300,7.8,5.9,4.4,4.2,5.4,5.5,4.4
"979","SA","Tumby Bay (DC)",430057910,5,2.9,2.9,2.3,2.6,2.9,2
"980","SA","Ceduna (DC)",430101010,6.6,5.5,4.5,4.7,7,8.4,7.2
"981","SA","Streaky Bay (DC)",430107490,6.4,3.5,3.2,3.3,4.3,2.9,2.2
"982","SA","Unincorp. West Coast",430109249,7.6,6.5,5.1,5.5,8.2,3.4,8.7
"983","SA","Whyalla (C)",435058540,11.8,7.9,6.1,5.5,6.7,6.7,4.9
"984","SA","Unincorp. Whyalla",435059389,12.4,10.3,8.9,6.7,10.8,0,18.3
"985","SA","Northern Areas (DC)",435155120,5.1,3.1,2.5,2.6,2.8,2.7,2
"986","SA","Orroroo/Carrieton (DC)",435155400,3.1,1.9,1.3,1.1,1.7,1.1,0.8
"987","SA","Peterborough (DC)",435155540,16.4,10.8,8.8,8.5,10.2,10.5,7.5
"988","SA","Port Pirie C Dists (M) - City",435156451,12.5,7.8,6.7,6.7,7.7,7.4,5.6
"989","SA","Port Pirie C Dists (M) Bal",435156454,8.4,5.2,5.1,4.9,5.5,5,3.7
"990","SA","Unincorp. Pirie",435159459,2.8,1.7,2.1,1.5,1.6,0,1.1
"991","SA","Flinders Ranges (DC)",435201830,6.1,2.9,2.4,2.9,3.3,4.5,3.4
"992","SA","Mount Remarkable (DC)",435204830,4.3,2.6,2.2,2.2,2.4,3.1,2.2
"993","SA","Port Augusta (C)",435206090,9.9,7.3,5.6,6,8.4,8.1,5.6
"994","SA","Unincorp. Flinders Ranges",435209529,4.8,2.8,2.3,2.6,2.8,0,2.3
"995","SA","Anangu Pitjantjatjara (AC)",435250250,15.1,10.1,7.8,7.6,9.2,24.4,20.6
"996","SA","Coober Pedy (DC)",435251330,14.9,10.7,6.2,6.4,9.7,11.1,8.7
"997","SA","Roxby Downs (M)",435256970,0.8,0.5,0.3,0.3,0.4,0.4,0.5
"998","SA","Unincorp. Far North",435259589,15.1,10.1,7.8,7.6,9.2,0,3.1
