"","State","Region.Name","ASGC.2008.Code","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"1153","Tas","Brighton (M)",605050410,10.9,9.4,9.6,8.8,8.3,7,7.5
"1154","Tas","Clarence (C)",605051410,5.4,4.7,5,4.2,3.8,3.7,4.2
"1155","Tas","Derwent Valley (M) - Pt A",605051511,9.7,8.6,8.9,7.4,6.6,7.2,7.8
"1156","Tas","Glenorchy (C)",605052610,8.4,7.4,7.7,6.7,6,6.3,7.1
"1157","Tas","Hobart (C) - Inner",605052811,9,7.7,8,6.4,5.4,3.3,4.2
"1158","Tas","Hobart (C) - Remainder",605052812,5.3,4.5,4.7,3.8,3.2,3,3.6
"1159","Tas","Kingborough (M) - Pt A",605053611,3.7,3.2,3.6,2.9,2.4,2.1,2.7
"1160","Tas","Sorell (M) - Pt A",605054811,7.5,6.7,7.1,6.2,4.8,4.9,6
"1161","Tas","Central Highlands (M)",610051010,7.8,13.3,12.8,5.8,5.4,7.1,7.1
"1162","Tas","Derwent Valley (M) - Pt B",610051512,6,10.7,10.2,4.5,4.1,6.3,6.3
"1163","Tas","Glamorgan/Spring Bay (M)",610052410,5.5,9.3,9.2,3.8,3.6,4.6,5.8
"1164","Tas","Huon Valley (M)",610053010,6.1,10.8,11.4,4.7,4.1,5.6,5.8
"1165","Tas","Kingborough (M) - Pt B",610053612,3.6,5.5,5.4,2.6,1.9,2.4,2.5
"1166","Tas","Sorell (M) - Pt B",610054812,4.4,7,7.4,2.8,2.6,3.4,4.1
"1167","Tas","Southern Midlands (M)",610055010,6.3,10.4,10,4.8,4.5,7,6.9
"1168","Tas","Tasman (M)",610055210,4.8,8.7,9.8,4.2,3.7,5.3,6.6
"1169","Tas","George Town (M) - Pt A",615052211,11.6,8.8,9.1,9.8,8.4,5.6,9.9
"1170","Tas","Launceston (C) - Inner",615054011,10.1,6.9,6.8,6.8,6.7,3.2,4.8
"1171","Tas","Launceston (C) - Pt B",615054012,8.3,5.9,5.8,6.1,5.7,3.9,5.8
"1172","Tas","Meander Valley (M) - Pt A",615054211,6.2,4.1,4.1,4.4,4,2.8,4.3
"1173","Tas","Northern Midlands (M) - Pt A",615054611,4.9,3.1,3.1,3.2,3,2.3,3.4
"1174","Tas","West Tamar (M) - Pt A",615055811,7.4,5,4.6,4.8,4.2,2.9,4.5
"1175","Tas","George Town (M) - Pt B",615102212,5.9,4.2,3.6,4,3.3,2.7,4.5
"1176","Tas","Launceston (C) - Pt C",615104013,5.2,3.8,3.5,3.4,3.7,3.1,4.3
"1177","Tas","Meander Valley (M) - Pt B",615104212,7.7,5,4.4,4.3,3.7,2.9,4.4
"1178","Tas","Northern Midlands (M) - Pt B",615104612,7.8,5.4,5.5,5.3,4.7,3.4,5.1
"1179","Tas","West Tamar (M) - Pt B",615105812,7,4.7,4,4.1,3.5,2.5,3.7
"1180","Tas","Break O'Day (M)",615150210,13.3,9.8,9.1,8.7,7.7,6,9.4
"1181","Tas","Dorset (M)",615151810,6.2,4.9,4.4,4.8,4.1,3.5,5.4
"1182","Tas","Flinders (M)",615152010,3.9,2.7,2.7,2.7,2.5,2,2.3
"1183","Tas","Burnie (C) - Pt A",620050611,8.9,8.1,10.1,9.9,8.3,8.3,9.8
"1184","Tas","Central Coast (M) - Pt A",620050811,7.3,6.5,7.8,7.6,5.8,6.1,7.2
"1185","Tas","Devonport (C)",620051610,8.1,7.5,9.4,9.5,7.4,7.1,7.6
"1186","Tas","Latrobe (M) - Pt A",620053811,7.4,6.3,7.8,7.9,6.4,5.6,6.1
"1187","Tas","Waratah/Wynyard (M) - Pt A",620055411,6.2,6,7.5,6.6,4.9,5.7,7.2
"1188","Tas","Burnie (C) - Pt B",620100612,7,6.2,7.3,6.4,4.9,5.4,6.6
"1189","Tas","Central Coast (M) - Pt B",620100812,6,5.4,6.6,6.4,5,6,7.1
"1190","Tas","Circular Head (M)",620101210,4.4,3.9,4.7,4.4,3.4,2.9,4.1
"1191","Tas","Kentish (M)",620103210,7.9,7.2,9.1,9.5,7.2,8,8.6
"1192","Tas","King Island (M)",620103410,1.7,1.4,2.1,2,1.6,2.1,2
"1193","Tas","Latrobe (M) - Pt B",620103812,5.9,5,6.1,6.3,5,5.7,6.3
"1194","Tas","Waratah/Wynyard (M) - Pt B",620105412,6.3,6.1,7.1,6.3,4.6,5.6,7.1
"1195","Tas","West Coast (M)",620155610,8,6.5,7.6,7.4,6.5,6.9,8.4
