"","State","Region.Name","ASGC.2008.Code","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"200","Vic","Melbourne (C) - Inner",205054601,7.7,8.5,6.6,7.5,5.2,4.3,4
"201","Vic","Melbourne (C) - S'bank-D'lands",205054605,3.7,4.3,3.2,3.8,2.9,1.3,1.6
"202","Vic","Melbourne (C) - Remainder",205054608,6.2,6.1,4.8,5.2,3.6,5,5
"203","Vic","Port Phillip (C) - St Kilda",205055901,5.4,5.5,3.9,4.2,2.9,4.6,4.1
"204","Vic","Port Phillip (C) - West",205055902,3.3,3.4,2.5,2.9,2,3,2.8
"205","Vic","Stonnington (C) - Prahran",205056351,3.3,3.4,2.3,2.5,1.6,2.8,2.8
"206","Vic","Yarra (C) - North",205057351,6.9,7.2,5.3,5.8,3.8,6.1,5.7
"207","Vic","Yarra (C) - Richmond",205057352,5.2,5.2,3.8,4.5,3.1,4.8,4.6
"208","Vic","Brimbank (C) - Keilor",205101181,7.4,6.6,6.1,6.5,5.1,6.5,6.3
"209","Vic","Brimbank (C) - Sunshine",205101182,13.6,12,11.4,11.7,9.6,10.8,10.6
"210","Vic","Hobsons Bay (C) - Altona",205103111,6.8,5.9,5.5,5.9,5,7.1,6.8
"211","Vic","Hobsons Bay (C) - Williamstown",205103112,4.4,3.8,3.7,3.9,3,4,3.8
"212","Vic","Maribyrnong (C)",205104330,11.4,9.5,8.6,8.8,7.3,8.2,7.4
"213","Vic","Moonee Valley (C) - Essendon",205105063,5.6,4.8,4.3,4.1,3,3.3,3.3
"214","Vic","Moonee Valley (C) - West",205105065,4.2,3.7,3.1,3,2.1,3.3,3.4
"215","Vic","Melton (S) - East",205204651,5,4.6,4.5,5,4.1,6.2,6.4
"216","Vic","Melton (S) Bal",205204654,6.7,6.2,6.2,7.2,6.5,8.2,8.7
"217","Vic","Wyndham (C) - North",205207261,5.9,5.6,5.4,6,5.5,6.3,6.5
"218","Vic","Wyndham (C) - South",205207264,5.6,5.3,5.1,5.7,5.2,6.8,7
"219","Vic","Wyndham (C) - West",205207267,5.4,5.4,5.4,6.3,6,6.5,7.1
"220","Vic","Moreland (C) - Brunswick",205255251,5.9,7.5,5.9,4.2,3.8,3.2,5.5
"221","Vic","Moreland (C) - Coburg",205255252,5.3,6.7,5.4,3.9,3.7,3.3,5.6
"222","Vic","Moreland (C) - North",205255253,6.5,8.1,6.8,5.3,5.3,5.2,8.3
"223","Vic","Banyule (C) - Heidelberg",205300661,4.6,4.5,3.8,3.4,3.7,3.7,3.8
"224","Vic","Banyule (C) - North",205300662,3.3,3.3,2.8,2.5,2.6,2.6,2.8
"225","Vic","Darebin (C) - Northcote",205301891,7.6,7.2,5.8,4.6,4.4,4.3,4.2
"226","Vic","Darebin (C) - Preston",205301892,10.4,10.5,8.6,7.4,7.6,7.1,6.8
"227","Vic","Hume (C) - Broadmeadows",205353271,10.2,13.4,11.8,9.4,9.9,10.6,15.9
"228","Vic","Hume (C) - Craigieburn",205353274,4.5,6.4,6.2,5.1,5.8,4.8,8.3
"229","Vic","Hume (C) - Sunbury",205353275,2.8,3.9,3.6,3.1,3.2,2.5,4.1
"230","Vic","Nillumbik (S) - South",205405713,1.9,2,1.5,1.3,1.4,1.4,1.5
"231","Vic","Nillumbik (S) - South-West",205405715,2.1,2.1,1.8,1.7,1.9,1.7,1.9
"232","Vic","Nillumbik (S) Bal",205405718,2.5,2.3,2.3,2,2.2,2.5,2.3
"233","Vic","Whittlesea (C) - North",205407071,4.1,4.4,4.2,4.1,5.2,3.3,4
"234","Vic","Whittlesea (C) - South-East",205407075,7.3,7.3,6,5,5,3.4,3.6
"235","Vic","Whittlesea (C) - South-West",205407076,7.3,7.3,6,5,5,7.6,7.6
"236","Vic","Boroondara (C) - Camberwell N.",205451111,2.7,2.7,3,2.7,2.4,2.7,3.2
"237","Vic","Boroondara (C) - Camberwell S.",205451112,3.7,3.7,4.5,3.7,3.2,3.2,3.8
"238","Vic","Boroondara (C) - Hawthorn",205451113,4,3.7,4.1,3.3,2.7,3.2,3.6
"239","Vic","Boroondara (C) - Kew",205451114,3.4,3.3,3.5,3,2.3,2.9,3.2
"240","Vic","Manningham (C) - East",205504211,3.2,2.8,3.3,2.9,2.3,2.7,3.2
"241","Vic","Manningham (C) - West",205504214,4.2,4.1,4.5,4,3.4,4.4,5.2
"242","Vic","Monash (C) - South-West",205504971,7.3,7,7.8,7.2,5.6,7.6,8.2
"243","Vic","Monash (C) - Waverley East",205504974,4.2,4,4.3,3.8,3.1,4.3,5.3
"244","Vic","Monash (C) - Waverley West",205504975,4.9,4.5,5.1,4.4,3.6,4.4,5
"245","Vic","Whitehorse (C) - Box Hill",205506981,5.1,5,5.9,5,4.6,5.5,6.5
"246","Vic","Whitehorse (C) - Nunawading E.",205506984,5,4.7,5.1,4.4,3.9,5,5.6
"247","Vic","Whitehorse (C) - Nunawading W.",205506985,5.3,5.1,5.7,4.9,4.2,5.2,6.1
"248","Vic","Knox (C) - North-East",205553672,4.3,4,4.4,3.8,3.2,5,5
"249","Vic","Knox (C) - North-West",205553673,4.3,4,4.4,3.8,3.2,3.4,3.5
"250","Vic","Knox (C) - South",205553674,3.5,3.1,3.4,3,2.7,3.1,3.2
"251","Vic","Maroondah (C) - Croydon",205554411,4.3,4,4.6,3.9,3.5,5,4.7
"252","Vic","Maroondah (C) - Ringwood",205554412,4.1,3.9,4.3,3.7,3.6,5.2,4.6
"253","Vic","Yarra Ranges (S) - Central",205607451,7.8,6.4,7.2,6.5,5.9,8.2,6.9
"254","Vic","Yarra Ranges (S) - Dandenongs",205607452,4.1,3.6,4,3.4,3.1,3.9,3.8
"255","Vic","Yarra Ranges (S) - Lilydale",205607453,4.1,3.6,4,3.4,3.1,4.4,4.1
"256","Vic","Yarra Ranges (S) - North",205607454,5.7,4.9,5.9,5.1,4.9,5.7,4.8
"257","Vic","Yarra Ranges (S) - Seville",205607456,4.1,3.6,4,3.4,3.1,3.5,3.2
"258","Vic","Bayside (C) - Brighton",205650911,2.1,1.9,2,1.9,1.9,2.8,2.3
"259","Vic","Bayside (C) - South",205650912,3.3,3.1,2.9,2.8,3.2,4.2,3.4
"260","Vic","Glen Eira (C) - Caulfield",205652311,4.3,3.9,3.7,3.5,3.7,5.3,4.3
"261","Vic","Glen Eira (C) - South",205652314,4.3,4,3.6,3.8,4.3,4.5,4
"262","Vic","Kingston (C) - North",205653431,4.9,4.3,4.3,4.4,4.8,7.2,5.9
"263","Vic","Kingston (C) - South",205653434,5.3,4.8,4.8,5.2,5.4,7.4,6.1
"264","Vic","Stonnington (C) - Malvern",205656352,2.8,2.7,2.6,2.6,2.8,3.3,2.7
"265","Vic","Gr. Dandenong (C) - Dandenong",205752671,10.3,7.8,7.8,7.9,9.6,10.9,13.6
"266","Vic","Gr. Dandenong (C) Bal",205752674,8.9,6.5,6.2,6.1,7,7.2,8.9
