"","State","Region.Name","ASGC.2008.Code","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"999","WA","Cambridge (T)",505051310,3.7,2.1,1.7,1.2,1.8,1.9,3.2
"1000","WA","Claremont (T)",505051750,2.9,1.8,1.5,1.1,1.6,2,3
"1001","WA","Cottesloe (T)",505052170,2.8,1.7,1.1,0.7,0.8,1.2,2.6
"1002","WA","Mosman Park (T)",505055740,6.7,3.5,2.8,2.4,3.6,3.8,6.7
"1003","WA","Nedlands (C)",505056580,2.6,1.6,1.3,0.9,1.3,1.5,2.2
"1004","WA","Peppermint Grove (S)",505056930,3.7,2.2,1.5,1,1.1,1.2,2.7
"1005","WA","Perth (C) - Inner",505057081,13.8,8.8,8.2,6.3,10,9.2,13
"1006","WA","Perth (C) - Remainder",505057082,0,0,0,0,0,6,9.4
"1007","WA","Subiaco (C)",505057980,4,2.3,1.9,1.4,2,2.2,3.2
"1008","WA","Vincent (T)",505058570,8,4.8,4.3,3,4.4,5.2,8
"1009","WA","Bassendean (T)",505100350,7.4,5.4,5.7,4.3,3.2,3.4,6.1
"1010","WA","Bayswater (C)",505100420,7,5.3,5.8,4,2.9,2.8,4.9
"1011","WA","Kalamunda (S)",505104200,3.2,2.5,2.6,1.9,1.6,1.8,3.2
"1012","WA","Mundaring (S)",505106090,4.7,3.4,3.9,2.9,2.4,2.4,4.4
"1013","WA","Swan (C)",505108050,6,4.4,4.9,3.8,3.3,3,5.4
"1014","WA","Joondalup (C) - North",505154171,3.5,3.1,2.5,2,1.8,2.2,3
"1015","WA","Joondalup (C) - South",505154174,2.9,2.5,2,1.5,1.3,1.9,2.4
"1016","WA","Stirling (C) - Central",505157914,9,8.4,6.9,5.5,4.9,6.2,7.3
"1017","WA","Stirling (C) - Coastal",505157915,4.2,4,3.2,2.4,2,2.6,3
"1018","WA","Stirling (C) - South-Eastern",505157916,6,5.4,4.3,3.1,2.4,2.8,3.5
"1019","WA","Wanneroo (C) - North-East",505158761,4.3,4.3,3.6,3.1,3,2.7,4.2
"1020","WA","Wanneroo (C) - North-West",505158764,6.9,6.5,5.6,4.5,4.5,5.8,7.6
"1021","WA","Wanneroo (C) - South",505158767,9.6,8.7,7.4,6.1,5.6,6.5,7.8
"1022","WA","Cockburn (C)",505201820,5.7,4.5,3.5,2.6,3.4,3.8,5
"1023","WA","East Fremantle (T)",505203150,4.7,3.6,2.6,1.6,2,2.7,3
"1024","WA","Fremantle (C) - Inner",505203431,17.1,13.8,11,8.6,11.4,7.5,9.2
"1025","WA","Fremantle (C) - Remainder",505203432,8.8,6.9,5.3,4,5.1,5.8,6.9
"1026","WA","Kwinana (T)",505204830,11.8,9.5,7.9,5.8,7.6,7.7,10
"1027","WA","Melville (C)",505205320,3.3,2.6,1.9,1.5,1.8,2.3,2.8
"1028","WA","Rockingham (C)",505207490,8,6.4,5.5,4.1,5.3,5.5,7
"1029","WA","Armadale (C)",505250210,7.2,6.5,5.6,4.6,4.6,6.1,8
"1030","WA","Belmont (C)",505250490,8.8,8.3,6.7,4.9,4.4,5.6,6.8
"1031","WA","Canning (C)",505251330,4.5,4.3,3.5,2.8,2.5,3.4,4
