id,NSW,Vic,Qld,SA,WA,Tas,NT,ACT
1999-03,412,318,224,66,91,18,5,22
1999-06,443,317,204,62,88,10,8,12
1999-09,451,293,233,61,82,10,10,17
1999-12,348,248,135,34,67,10,6,9
2000-03,394,267,219,50,63,8,4,20
2000-06,459,295,218,68,90,11,6,19
2000-09,448,332,193,48,77,13,9,6
2000-12,597,399,306,105,144,10,14,30
2001-03,566,434,286,63,108,17,10,20
2001-06,637,476,314,93,156,24,8,24
2001-09,711,456,272,106,152,17,10,50
2001-12,670,429,291,63,114,28,6,23
2002-03,642,346,230,65,140,19,7,22
2002-06,631,406,242,76,142,19,5,21
2002-09,720,400,248,75,111,21,12,27
2002-12,678,412,241,66,140,10,7,27
2003-03,592,440,257,64,137,9,10,22
2003-06,772,512,281,103,151,14,5,27
2003-09,800,398,292,72,129,6,7,14
2003-12,637,430,255,59,123,8,10,25
2004-03,639,428,237,80,108,9,8,25
2004-06,735,512,227,86,135,13,16,26
2004-09,769,474,228,66,140,7,6,31
2004-12,699,473,218,64,113,12,10,24
2005-03,654,389,202,67,130,4,15,9
2005-06,833,505,251,76,109,6,5,35
2005-09,985,543,277,77,90,5,5,26
2005-12,893,562,280,69,122,12,5,36
2006-03,879,476,255,81,120,9,7,21
2006-06,989,535,250,66,101,8,3,31
2006-09,964,550,290,70,68,15,5,30
2006-12,922,496,292,78,83,12,5,26
2007-03,843,449,284,53,58,14,3,23
2007-06,928,482,250,75,84,8,3,24
2007-09,1045,520,278,76,68,10,5,34
2007-12,948,494,291,65,65,11,4,26
2008-03,828,462,283,69,68,12,2,22
2008-06,999,658,344,76,90,9,6,39
2008-09,1156,630,441,75,125,10,7,31
2008-12,1189,722,473,102,110,13,9,53
2009-03,1067,584,478,89,149,12,1,28
2009-06,1075,680,414,72,159,8,7,36
2009-09,999,578,480,88,152,16,2,38
2009-12,983,576,426,48,116,30,8,38
2010-03,942,542,436,88,144,17,7,28
2010-06,1011,631,552,88,168,18,7,24
2010-09,1073,667,474,88,146,22,9,23
2010-12,973,607,512,84,170,12,6,32
2011-03,929,623,404,68,189,24,6,32
2011-06,1097,706,504,112,176,21,12,28
2011-09,1247,719,564,129,218,28,8,48
2011-12,1036,643,577,104,167,19,9,34
2012-03,1042,658,623,109,162,25,7,29
2012-06,1007,724,528,88,141,19,7,38
2012-09,1119,741,580,113,171,39,11,33
2012-12,977,729,567,84,192,22,7,40
2013-03,934,684,502,128,177,34,5,42
